,Country,Region,Happiness Rank_2015,Happiness Score_2015,GDP Per Capita_2015,Family_2015,Health (Life Expectancy)_2015,Freedom_2015,Trust (Government Corruption)_2015,Generosity_2015,Dystopia Residual_2015,Happiness Rank_2016,Happiness Score_2016,GDP Per Capita_2016,Family_2016,Health (Life Expectancy)_2016,Freedom_2016,Trust (Government Corruption)_2016,Generosity_2016,Dystopia Residual_2016,Happiness Rank_2017,Happiness Score_2017,GDP Per Capita_2017,Family_2017,Health (Life Expectancy)_2017,Freedom_2017,Trust (Government Corruption)_2017,Generosity_2017,Dystopia Residual_2017,Happiness Rank_2018,Happiness Score_2018,GDP Per Capita_2018,Family_2018,Health (Life Expectancy)_2018,Freedom_2018,Trust (Government Corruption)_2018,Generosity_2018,Dystopia Residual_2018,Happiness Rank_2019,Happiness Score_2019,GDP Per Capita_2019,Family_2019,Health (Life Expectancy)_2019,Freedom_2019,Trust (Government Corruption)_2019,Generosity_2019,Dystopia Residual_2019
0,Switzerland,Western Europe,1,7.587000000000001,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2.51738,2,7.508999999999999,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,4,7.49399995803833,1.5649795532226598,1.51691174507141,0.858131289482117,0.620070576667786,0.367007285356522,0.2905492782592769,2.2767162322998,5,7.487,1.42,1.33722058169047,0.927,0.66,0.357,0.256,2.496242077433267,6,7.48,1.452,1.33722058169047,1.052,0.5720000000000001,0.3429999999999999,0.263,2.496242077433267
1,Iceland,Western Europe,2,7.561,1.30232,1.40223,0.94784,0.6287699999999999,0.14145,0.4363,2.70201,3,7.501,1.42666,1.18326,0.8673299999999999,0.56624,0.14975,0.47678,2.83137,3,7.50400018692017,1.480633020401,1.6105740070343,0.8335521221160892,0.6271626353263849,0.153526559472084,0.475540220737457,2.32271528244019,4,7.495,1.3430000000000002,1.3986880023447668,0.914,0.677,0.138,0.353,2.6186984274800635,4,7.494,1.38,1.3986880023447668,1.026,0.591,0.118,0.354,2.6186984274800635
2,Denmark,Western Europe,3,7.527,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003,1,7.526,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.44453,0.36171,2.73939,2,7.52199983596802,1.48238301277161,1.55112159252167,0.7925655245780941,0.626006722450256,0.4007700681686399,0.3552804887294771,2.31370735168457,3,7.555,1.351,1.3584805308405565,0.868,0.6829999999999999,0.408,0.284,2.515045783894857,2,7.6,1.383,1.3584805308405565,0.996,0.5920000000000001,0.41,0.252,2.515045783894857
3,Canada,North America,5,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,6,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.4483399999999999,2.70485,7,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,2.18726444244385,7,7.327999999999999,1.33,1.3000196637980135,0.8959999999999999,0.653,0.291,0.321,2.4479581474812835,9,7.278,1.365,1.3000196637980135,1.039,0.584,0.308,0.285,2.4479581474812835
4,Finland,Western Europe,6,7.406000000000001,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,2.61955,5,7.412999999999999,1.40598,1.13464,0.81091,0.57104,0.4100399999999999,0.25492,2.82596,5,7.468999862670901,1.44357192516327,1.5402467250824,0.80915766954422,0.6179508566856379,0.38261154294014,0.24548277258873,2.4301815032959,1,7.632000000000001,1.305,1.3310489083608,0.8740000000000001,0.6809999999999999,0.3929999999999999,0.2019999999999999,2.6252305010986334,1,7.769,1.34,1.3310489083608,0.986,0.596,0.3929999999999999,0.153,2.6252305010986334
5,Netherlands,Western Europe,7,7.377999999999999,1.32944,1.28017,0.89284,0.6157600000000001,0.31814,0.4761,2.4657,7,7.338999999999999,1.46468,1.02912,0.8123100000000001,0.55211,0.29927,0.47416,2.70749,6,7.3769998550415,1.50394463539124,1.42893922328949,0.8106961250305179,0.5853844881057739,0.282661825418472,0.470489829778671,2.29480409622192,6,7.441,1.361,1.2460764077631632,0.878,0.638,0.295,0.3329999999999999,2.4893313654073066,5,7.487999999999999,1.396,1.2460764077631632,0.999,0.557,0.298,0.322,2.4893313654073066
6,Sweden,Western Europe,8,7.364,1.33171,1.2890700000000002,0.91087,0.6598,0.4384399999999999,0.36262,2.3711900000000004,10,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,9,7.28399991989136,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.384398728609085,0.3853992521762849,2.09753799438477,9,7.314,1.355,1.2849573898188267,0.913,0.659,0.3829999999999999,0.285,2.33868933146159,7,7.343,1.3869999999999998,1.2849573898188267,1.009,0.574,0.373,0.267,2.33868933146159
7,Australia,Australia and New Zealand,10,7.284,1.33358,1.30923,0.93156,0.6512399999999999,0.3563699999999999,0.43562,2.26646,9,7.313,1.44443,1.10476,0.8512,0.5683699999999999,0.32331,0.47407,2.5465,10,7.28399991989136,1.4844149351120002,1.5100419521331798,0.84388679265976,0.601607382297516,0.301183730363846,0.477699249982834,2.06521081924438,10,7.272,1.34,1.3080106507110598,0.91,0.647,0.302,0.361,2.292723606414793,11,7.228,1.372,1.3080106507110598,1.036,0.557,0.29,0.332,2.292723606414793
8,Israel,Middle East and Northern Africa,11,7.278,1.2285700000000002,1.22393,0.91387,0.4131899999999999,0.07785,0.3317199999999999,3.08854,11,7.267,1.33766,0.99537,0.8491700000000001,0.36432,0.08728,0.32288,3.31029,11,7.212999820709231,1.3753824234008798,1.37628996372223,0.83840399980545,0.4059886038303379,0.0852421000599861,0.330082654953003,2.80175733566284,19,6.814,1.301,1.19852998790741,0.883,0.5329999999999999,0.272,0.354,3.0668624452209468,13,7.138999999999999,1.276,1.19852998790741,1.029,0.371,0.0819999999999999,0.261,3.0668624452209468
9,Costa Rica,Latin America and Caribbean,12,7.226,0.95578,1.23788,0.8602700000000001,0.63376,0.10583,0.25497,3.17728,14,7.087000000000001,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,3.3516800000000004,12,7.0789999961853,1.10970628261566,1.4164036512374898,0.7595092654228209,0.580131649971008,0.100106589496136,0.214613229036331,2.89863920211792,13,7.072,1.01,1.22526788374583,0.8170000000000001,0.632,0.1009999999999999,0.143,3.1425330673726406,12,7.167000000000001,1.034,1.22526788374583,0.963,0.5579999999999999,0.093,0.144,3.1425330673726406
10,Austria,Western Europe,13,7.2,1.33723,1.29704,0.8904200000000001,0.62433,0.1867599999999999,0.33088,2.5332,12,7.119,1.45038,1.0838299999999998,0.80565,0.54355,0.21348,0.32865,2.69343,13,7.00600004196167,1.48709726333618,1.4599449634552,0.8153284192085269,0.567766189575195,0.221060365438461,0.316472321748734,2.1385064125061004,12,7.138999999999999,1.341,1.2802716544850667,0.8909999999999999,0.617,0.2239999999999999,0.242,2.455045470835367,10,7.246,1.376,1.2802716544850667,1.016,0.532,0.226,0.244,2.455045470835367
11,Mexico,Latin America and Caribbean,14,7.187,1.02054,0.91451,0.8144399999999999,0.48181,0.2131199999999999,0.14074,3.6021400000000003,21,6.778,1.1150799999999998,0.7146,0.71143,0.37709,0.18355,0.11735,3.55906,25,6.57800006866455,1.15318381786346,1.210862159729,0.709978997707367,0.412730008363724,0.132774114608765,0.1209904327988619,2.8371548652648904,24,6.488,1.038,0.9466573865763334,0.7609999999999999,0.479,0.095,0.069,3.332784955088297,23,6.595,1.07,0.9466573865763334,0.861,0.433,0.073,0.074,3.332784955088297
12,United States,North America,15,7.119,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,13,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.4107699999999999,2.72782,14,6.993000030517581,1.54625928401947,1.4199205636978105,0.7742866277694699,0.505740523338318,0.135638788342476,0.392578780651093,2.2181134223938,18,6.886,1.398,1.2382835212326035,0.8190000000000001,0.547,0.133,0.291,2.4853478074646005,19,6.892,1.433,1.2382835212326035,0.8740000000000001,0.4539999999999999,0.128,0.28,2.4853478074646005
13,Brazil,Latin America and Caribbean,16,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001,17,6.952000000000001,1.08754,1.03938,0.61415,0.40425,0.1416599999999999,0.1577599999999999,3.5073300000000005,22,6.63500022888184,1.10735321044922,1.43130600452423,0.6165523529052729,0.437453746795654,0.111092761158943,0.1623498946428299,2.7692670822143595,28,6.419,0.986,1.2345186681747433,0.675,0.493,0.088,0.11,3.1788690274047866,32,6.3,1.004,1.2345186681747433,0.802,0.39,0.086,0.099,3.1788690274047866
14,Luxembourg,Western Europe,17,6.946000000000001,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,1.96961,20,6.871,1.69752,1.03999,0.8454200000000001,0.5487,0.35329,0.27571,2.11055,18,6.86299991607666,1.74194359779358,1.45758366584778,0.845089495182037,0.59662789106369,0.31883442401886,0.283180981874466,1.61951208114624,17,6.91,1.5759999999999998,1.2390678886159268,0.8959999999999999,0.632,0.321,0.196,1.8998906937154134,14,7.09,1.609,1.2390678886159268,1.012,0.526,0.316,0.1939999999999999,1.8998906937154134
15,Ireland,Western Europe,18,6.94,1.33596,1.36948,0.89533,0.6177699999999999,0.28703,0.45901,1.9757,19,6.907,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,2.15988,15,6.977000236511231,1.5357066392898602,1.55823111534119,0.8097826242446899,0.5731103420257571,0.29838815331459,0.42785832285881,1.77386903762817,14,6.977,1.4480000000000002,1.3630937051137302,0.8759999999999999,0.614,0.306,0.307,1.9698163458760567,16,7.021,1.499,1.3630937051137302,0.999,0.516,0.31,0.298,1.9698163458760567
16,Belgium,Western Europe,19,6.937,1.30782,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2.4148400000000003,18,6.928999999999999,1.42539,1.05249,0.8195899999999999,0.51354,0.26248,0.2424,2.61355,17,6.89099979400635,1.46378076076508,1.4623126983642598,0.8180918693542479,0.5397707223892211,0.251343131065369,0.2315033376216889,2.12421035766602,16,6.9270000000000005,1.324,1.2668208994547532,0.894,0.583,0.24,0.188,2.384200119222007,18,6.922999999999999,1.356,1.2668208994547532,0.986,0.473,0.21,0.16,2.384200119222007
17,United Arab Emirates,Middle East and Northern Africa,20,6.901,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2.24743,28,6.573,1.57352,0.8711399999999999,0.72993,0.56215,0.35561,0.26591,2.21507,21,6.6479997634887695,1.6263433694839498,1.26641023159027,0.726798236370087,0.60834527015686,0.324489563703537,0.3609419465065,1.734703540802,20,6.774,2.096,1.0877667438634233,0.67,0.284,0.3119823909258842,0.186,2.065734513600667,21,6.825,1.503,1.0877667438634233,0.825,0.598,0.182,0.262,2.065734513600667
18,United Kingdom,Western Europe,21,6.867000000000001,1.26637,1.28548,0.90943,0.59625,0.3206699999999999,0.51912,1.96994,23,6.725,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156,2.1499900000000003,19,6.71400022506714,1.44163393974304,1.4964600801467902,0.805335938930511,0.508190035820007,0.265428066253662,0.492774158716202,1.70414352416992,11,7.19,1.244,1.28955336004893,0.888,0.4639999999999999,0.0819999999999999,0.262,1.9413578413899735,15,7.053999999999999,1.3330000000000002,1.28955336004893,0.996,0.45,0.278,0.348,1.9413578413899735
19,Venezuela,Latin America and Caribbean,23,6.81,1.04424,1.25596,0.7205199999999999,0.42908,0.11069,0.05841,3.19131,44,6.084,1.1336700000000002,1.03302,0.6190399999999999,0.19847,0.08304,0.0425,2.97468,82,5.25,1.12843120098114,1.43133759498596,0.617144227027893,0.1539971232414249,0.0644911229610443,0.0650196298956871,1.78946375846863,102,4.806,0.996,1.2401058649953198,0.657,0.133,0.052,0.0559999999999999,2.6518179194895435,108,4.707,0.96,1.2401058649953198,0.805,0.154,0.047,0.064,2.6518179194895435
20,Singapore,Southeastern Asia,24,6.797999999999999,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,1.88501,22,6.739,1.64555,0.8675799999999999,0.94719,0.4877,0.4698699999999999,0.32706,1.99375,26,6.57200002670288,1.69227766990662,1.35381436347961,0.9494923949241642,0.549840569496155,0.4643077850341799,0.345965981483459,1.21636199951172,34,6.343,1.529,1.0804647878265365,1.008,0.631,0.457,0.261,1.69837399983724,34,6.2620000000000005,1.5719999999999998,1.0804647878265365,1.141,0.556,0.4529999999999999,0.271,1.69837399983724
21,Panama,Latin America and Caribbean,25,6.7860000000000005,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,2.84848,25,6.7010000000000005,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,3.00559,30,6.4520001411438,1.23374843597412,1.3731925487518302,0.706156134605408,0.550026834011078,0.070983923971653,0.21055693924427,2.30719995498657,27,6.43,1.112,1.18693751625061,0.759,0.597,0.063,0.125,2.720423318328857,31,6.321000000000001,1.149,1.18693751625061,0.91,0.516,0.054,0.109,2.720423318328857
22,Chile,Latin America and Caribbean,27,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585,24,6.705,1.2167,0.90587,0.8188300000000001,0.37789,0.1145099999999999,0.31595,2.95505,20,6.65199995040894,1.25278460979462,1.28402495384216,0.8194797039031979,0.376895278692245,0.0822879821062088,0.3266624212265011,2.50958585739136,25,6.476,1.131,1.1047883179473865,0.8079999999999999,0.431,0.061,0.1969999999999999,2.7134952857971206,26,6.444,1.159,1.1047883179473865,0.92,0.357,0.0559999999999999,0.187,2.7134952857971206
23,Qatar,Middle East and Northern Africa,28,6.611000000000001,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,1.55674,36,6.375,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,1.58224,35,6.375,1.87076568603516,1.27429687976837,0.7100980877876278,0.604130983352661,0.439299255609512,0.330473870038986,1.1454644203186002,32,6.374,1.649,1.0775122932561232,0.748,0.654,0.171,0.256,1.4281481401062,29,6.374,1.6840000000000002,1.0775122932561232,0.871,0.555,0.1669999999999999,0.22,1.4281481401062
